模组,配方ID,产物,数量,机器,原料,附加参数,饥饿值,饱和度,效果(buff),UNITE状态,备注
万花筒烹饪,flex_stockpot/braised_beef_with_potatoes.json,土豆炖牛肉(kaleidoscope_cookery:braised_beef_with_potatoes),1,汤锅(灵活),生牛肉(#c:foods/raw_beef) + 马铃薯(minecraft:potato),,6,8.0,温暖 8分,原始(统一基准),
万花筒烹饪,stockpot/braised_beef_with_potatoes.json,土豆炖牛肉(kaleidoscope_cookery:braised_beef_with_potatoes),1,汤锅(盖盖煮制),马铃薯(minecraft:potato) + 马铃薯(minecraft:potato) + 马铃薯(minecraft:potato) + 生牛肉(#c:foods/raw_beef) + 生牛肉(#c:foods/raw_beef),,6,8.0,温暖 8分,原始(统一基准),
万花筒烹饪,flex_stockpot/pork_bone_soup.json,大骨汤(kaleidoscope_cookery:pork_bone_soup),1,汤锅(灵活),骨头(minecraft:bone),,6,8.0,活力 5分,原始(统一基准),
万花筒烹饪,stockpot/pork_bone_soup.json,大骨汤(kaleidoscope_cookery:pork_bone_soup),1,汤锅(盖盖煮制),骨头(minecraft:bone) + 骨头(minecraft:bone) + 骨头(minecraft:bone) + 骨头(minecraft:bone) + 骨头(minecraft:bone) + 骨头(minecraft:bone) + 骨头(minecraft:bone),,6,8.0,活力 5分,原始(统一基准),
万花筒烹饪,flex_stockpot/chicken_and_mushroom_stew.json,小鸡炖蘑菇(kaleidoscope_cookery:chicken_and_mushroom_stew),1,汤锅(灵活),生鸡肉(#c:foods/raw_chicken) + 蘑菇(#c:mushrooms),,6,8.0,温暖 8分,原始(统一基准),
万花筒烹饪,stockpot/chicken_and_mushroom_stew.json,小鸡炖蘑菇(kaleidoscope_cookery:chicken_and_mushroom_stew),1,汤锅(盖盖煮制),生鸡肉(#c:foods/raw_chicken) + 生鸡肉(#c:foods/raw_chicken) + 蘑菇(#c:mushrooms) + 蘑菇(#c:mushrooms) + 蘑菇(#c:mushrooms),,6,8.0,温暖 8分,原始(统一基准),
万花筒烹饪,flex_stockpot/fearsome_thick_soup.json,恐惧浓汤(kaleidoscope_cookery:fearsome_thick_soup),1,汤锅(灵活),腐肉(minecraft:rotten_flesh) + 幽匿块(minecraft:sculk),,4,0.0,硫磺 8分,原始(统一基准),
万花筒烹饪,stockpot/fearsome_thick_soup.json,恐惧浓汤(kaleidoscope_cookery:fearsome_thick_soup),1,汤锅(盖盖煮制),腐肉(minecraft:rotten_flesh) + 腐肉(minecraft:rotten_flesh) + 腐肉(minecraft:rotten_flesh) + 腐肉(minecraft:rotten_flesh) + 幽匿块(minecraft:sculk) + 幽匿块(minecraft:sculk) + 幽匿块(minecraft:sculk) + 幽匿块(minecraft:sculk) + 幽匿块(minecraft:sculk),,4,0.0,硫磺 8分,原始(统一基准),
万花筒烹饪,flex_stockpot/brown_mushroom_pot_soup.json,棕蘑菇瓦罐汤(kaleidoscope_cookery:brown_mushroom_pot_soup),1,汤锅(灵活),棕色蘑菇(minecraft:brown_mushroom),载体:花盆(minecraft:flower_pot),18,24.0,温暖 5分,原始(统一基准),
万花筒烹饪,stockpot/brown_mushroom_pot_soup.json,棕蘑菇瓦罐汤(kaleidoscope_cookery:brown_mushroom_pot_soup),1,汤锅(盖盖煮制),棕色蘑菇(minecraft:brown_mushroom) + 棕色蘑菇(minecraft:brown_mushroom) + 棕色蘑菇(minecraft:brown_mushroom) + 棕色蘑菇(minecraft:brown_mushroom) + 棕色蘑菇(minecraft:brown_mushroom) + 棕色蘑菇(minecraft:brown_mushroom),载体:花盆(minecraft:flower_pot),18,24.0,温暖 5分,原始(统一基准),
万花筒烹饪,flex_stockpot/numbing_spicy_chicken.json,椒麻鸡(kaleidoscope_cookery:numbing_spicy_chicken),1,汤锅(灵活),辣椒(#c:crops/chilipepper) + 生鸡肉(#c:foods/raw_chicken),,13,16.0,抗火 2分,原始(统一基准),
万花筒烹饪,stockpot/numbing_spicy_chicken.json,椒麻鸡(kaleidoscope_cookery:numbing_spicy_chicken),1,汤锅(盖盖煮制),辣椒(#c:crops/chilipepper) + 辣椒(#c:crops/chilipepper) + 生鸡肉(#c:foods/raw_chicken) + 生鸡肉(#c:foods/raw_chicken) + 生鸡肉(#c:foods/raw_chicken),,13,16.0,抗火 2分,原始(统一基准),
万花筒烹饪,flex_stockpot/spicy_blood_stew.json,毛血旺(kaleidoscope_cookery:spicy_blood_stew),1,汤锅(灵活),生猪排(#c:foods/raw_pork) + 辣椒(#c:crops/chilipepper) + 烈焰粉(minecraft:blaze_powder),,13,16.0,抗火 1分20秒,原始(统一基准),
万花筒烹饪,stockpot/spicy_blood_stew.json,毛血旺(kaleidoscope_cookery:spicy_blood_stew),1,汤锅(盖盖煮制),生猪排(#c:foods/raw_pork) + 生猪排(#c:foods/raw_pork) + 生猪排(#c:foods/raw_pork) + 生猪排(#c:foods/raw_pork) + 辣椒(#c:crops/chilipepper) + 辣椒(#c:crops/chilipepper) + 辣椒(#c:crops/chilipepper) + 辣椒(#c:crops/chilipepper) + 烈焰粉(minecraft:blaze_powder),,13,16.0,抗火 1分20秒,原始(统一基准),
万花筒烹饪,stockpot/shengjian_mantou_count_1.json,水煎包(kaleidoscope_cookery:shengjian_mantou),1,汤锅(盖盖煮制),裹馅面食(kaleidoscope_cookery:stuffed_dough_food),,2,4.0,温暖 5分,原始(统一基准),
万花筒烹饪,stockpot/shengjian_mantou_count_2.json,水煎包(kaleidoscope_cookery:shengjian_mantou),2,汤锅(盖盖煮制),裹馅面食(kaleidoscope_cookery:stuffed_dough_food) + 裹馅面食(kaleidoscope_cookery:stuffed_dough_food),,2,4.0,温暖 5分,原始(统一基准),
万花筒烹饪,stockpot/shengjian_mantou_count_3.json,水煎包(kaleidoscope_cookery:shengjian_mantou),3,汤锅(盖盖煮制),裹馅面食(kaleidoscope_cookery:stuffed_dough_food) + 裹馅面食(kaleidoscope_cookery:stuffed_dough_food) + 裹馅面食(kaleidoscope_cookery:stuffed_dough_food),,2,4.0,温暖 5分,原始(统一基准),
万花筒烹饪,stockpot/shengjian_mantou_count_4.json,水煎包(kaleidoscope_cookery:shengjian_mantou),4,汤锅(盖盖煮制),裹馅面食(kaleidoscope_cookery:stuffed_dough_food) + 裹馅面食(kaleidoscope_cookery:stuffed_dough_food) + 裹馅面食(kaleidoscope_cookery:stuffed_dough_food) + 裹馅面食(kaleidoscope_cookery:stuffed_dough_food),,2,4.0,温暖 5分,原始(统一基准),
万花筒烹饪,stockpot/shengjian_mantou_count_5.json,水煎包(kaleidoscope_cookery:shengjian_mantou),5,汤锅(盖盖煮制),裹馅面食(kaleidoscope_cookery:stuffed_dough_food) + 裹馅面食(kaleidoscope_cookery:stuffed_dough_food) + 裹馅面食(kaleidoscope_cookery:stuffed_dough_food) + 裹馅面食(kaleidoscope_cookery:stuffed_dough_food) + 裹馅面食(kaleidoscope_cookery:stuffed_dough_food),,2,4.0,温暖 5分,原始(统一基准),
万花筒烹饪,stockpot/shengjian_mantou_count_6.json,水煎包(kaleidoscope_cookery:shengjian_mantou),6,汤锅(盖盖煮制),裹馅面食(kaleidoscope_cookery:stuffed_dough_food) + 裹馅面食(kaleidoscope_cookery:stuffed_dough_food) + 裹馅面食(kaleidoscope_cookery:stuffed_dough_food) + 裹馅面食(kaleidoscope_cookery:stuffed_dough_food) + 裹馅面食(kaleidoscope_cookery:stuffed_dough_food) + 裹馅面食(kaleidoscope_cookery:stuffed_dough_food),,2,4.0,温暖 5分,原始(统一基准),
万花筒烹饪,stockpot/shengjian_mantou_count_7.json,水煎包(kaleidoscope_cookery:shengjian_mantou),7,汤锅(盖盖煮制),裹馅面食(kaleidoscope_cookery:stuffed_dough_food) + 裹馅面食(kaleidoscope_cookery:stuffed_dough_food) + 裹馅面食(kaleidoscope_cookery:stuffed_dough_food) + 裹馅面食(kaleidoscope_cookery:stuffed_dough_food) + 裹馅面食(kaleidoscope_cookery:stuffed_dough_food) + 裹馅面食(kaleidoscope_cookery:stuffed_dough_food) + 裹馅面食(kaleidoscope_cookery:stuffed_dough_food),,2,4.0,温暖 5分,原始(统一基准),
万花筒烹饪,stockpot/shengjian_mantou_count_8.json,水煎包(kaleidoscope_cookery:shengjian_mantou),8,汤锅(盖盖煮制),裹馅面食(kaleidoscope_cookery:stuffed_dough_food) + 裹馅面食(kaleidoscope_cookery:stuffed_dough_food) + 裹馅面食(kaleidoscope_cookery:stuffed_dough_food) + 裹馅面食(kaleidoscope_cookery:stuffed_dough_food) + 裹馅面食(kaleidoscope_cookery:stuffed_dough_food) + 裹馅面食(kaleidoscope_cookery:stuffed_dough_food) + 裹馅面食(kaleidoscope_cookery:stuffed_dough_food) + 裹馅面食(kaleidoscope_cookery:stuffed_dough_food),,2,4.0,温暖 5分,原始(统一基准),
万花筒烹饪,stockpot/shengjian_mantou_count_9.json,水煎包(kaleidoscope_cookery:shengjian_mantou),9,汤锅(盖盖煮制),裹馅面食(kaleidoscope_cookery:stuffed_dough_food) + 裹馅面食(kaleidoscope_cookery:stuffed_dough_food) + 裹馅面食(kaleidoscope_cookery:stuffed_dough_food) + 裹馅面食(kaleidoscope_cookery:stuffed_dough_food) + 裹馅面食(kaleidoscope_cookery:stuffed_dough_food) + 裹馅面食(kaleidoscope_cookery:stuffed_dough_food) + 裹馅面食(kaleidoscope_cookery:stuffed_dough_food) + 裹馅面食(kaleidoscope_cookery:stuffed_dough_food) + 裹馅面食(kaleidoscope_cookery:stuffed_dough_food),,2,4.0,温暖 5分,原始(统一基准),
万花筒烹饪,flex_stockpot/pufferfish_soup.json,河豚汤(kaleidoscope_cookery:pufferfish_soup),1,汤锅(灵活),河豚(minecraft:pufferfish) + 生菜(#c:crops/lettuce),,4,0.0,芥末 10分,原始(统一基准),
万花筒烹饪,flex_stockpot/pufferfish_soup_entity.json,河豚汤(kaleidoscope_cookery:pufferfish_soup),1,汤锅(灵活),生菜(#c:crops/lettuce),,4,0.0,芥末 10分,原始(统一基准),
万花筒烹饪,stockpot/pufferfish_soup.json,河豚汤(kaleidoscope_cookery:pufferfish_soup),1,汤锅(盖盖煮制),河豚(minecraft:pufferfish) + 河豚(minecraft:pufferfish) + 生菜(#c:crops/lettuce) + 生菜(#c:crops/lettuce) + 生菜(#c:crops/lettuce),,4,0.0,芥末 10分,原始(统一基准),
万花筒烹饪,stockpot/pufferfish_soup_entity.json,河豚汤(kaleidoscope_cookery:pufferfish_soup),1,汤锅(盖盖煮制),生菜(#c:crops/lettuce) + 生菜(#c:crops/lettuce) + 生菜(#c:crops/lettuce),,4,0.0,芥末 10分,原始(统一基准),
万花筒烹饪,flex_stockpot/seafood_miso_soup.json,海鲜味噌汤(kaleidoscope_cookery:seafood_miso_soup),1,汤锅(灵活),生鱼(#c:raw_fishes) + 生菜(#c:crops/lettuce),,6,8.0,水下呼吸 8分,原始(统一基准),
万花筒烹饪,flex_stockpot/seafood_miso_soup_cod_entity.json,海鲜味噌汤(kaleidoscope_cookery:seafood_miso_soup),1,汤锅(灵活),生菜(#c:crops/lettuce),,6,8.0,水下呼吸 8分,原始(统一基准),
万花筒烹饪,flex_stockpot/seafood_miso_soup_salmon_entity.json,海鲜味噌汤(kaleidoscope_cookery:seafood_miso_soup),1,汤锅(灵活),生菜(#c:crops/lettuce),,6,8.0,水下呼吸 8分,原始(统一基准),
万花筒烹饪,flex_stockpot/seafood_miso_soup_tropical_entity.json,海鲜味噌汤(kaleidoscope_cookery:seafood_miso_soup),1,汤锅(灵活),生菜(#c:crops/lettuce),,6,8.0,水下呼吸 8分,原始(统一基准),
万花筒烹饪,stockpot/seafood_miso_soup.json,海鲜味噌汤(kaleidoscope_cookery:seafood_miso_soup),1,汤锅(盖盖煮制),生鱼(#c:raw_fishes) + 生鱼(#c:raw_fishes) + 生菜(#c:crops/lettuce) + 生菜(#c:crops/lettuce) + 生菜(#c:crops/lettuce),,6,8.0,水下呼吸 8分,原始(统一基准),
万花筒烹饪,stockpot/seafood_miso_soup_cod_entity.json,海鲜味噌汤(kaleidoscope_cookery:seafood_miso_soup),1,汤锅(盖盖煮制),生菜(#c:crops/lettuce) + 生菜(#c:crops/lettuce) + 生菜(#c:crops/lettuce),,6,8.0,水下呼吸 8分,原始(统一基准),
万花筒烹饪,stockpot/seafood_miso_soup_salmon_entity.json,海鲜味噌汤(kaleidoscope_cookery:seafood_miso_soup),1,汤锅(盖盖煮制),生菜(#c:crops/lettuce) + 生菜(#c:crops/lettuce) + 生菜(#c:crops/lettuce),,6,8.0,水下呼吸 8分,原始(统一基准),
万花筒烹饪,stockpot/seafood_miso_soup_tropical_entity.json,海鲜味噌汤(kaleidoscope_cookery:seafood_miso_soup),1,汤锅(盖盖煮制),生菜(#c:crops/lettuce) + 生菜(#c:crops/lettuce) + 生菜(#c:crops/lettuce),,6,8.0,水下呼吸 8分,原始(统一基准),
万花筒烹饪,flex_stockpot/hot_dry_noodles.json,热干面(kaleidoscope_cookery:hot_dry_noodles),1,汤锅(灵活),辣椒(#c:crops/chilipepper) + 生面条(kaleidoscope_cookery:raw_noodles),,14,18.0,生机 8分,原始(统一基准),
万花筒烹饪,stockpot/hot_dry_noodles.json,热干面(kaleidoscope_cookery:hot_dry_noodles),1,汤锅(盖盖煮制),生面条(kaleidoscope_cookery:raw_noodles) + 生面条(kaleidoscope_cookery:raw_noodles) + 生面条(kaleidoscope_cookery:raw_noodles) + 辣椒(#c:crops/chilipepper) + 辣椒(#c:crops/chilipepper) + 辣椒(#c:crops/chilipepper),,14,18.0,生机 8分,原始(统一基准),
万花筒烹饪,stockpot/zongzi_count_1.json,熟粽子(kaleidoscope_cookery:zongzi),1,汤锅(盖盖煮制),生粽子(kaleidoscope_cookery:raw_zongzi),,8,10.0,生命恢复 20秒,原始(统一基准),
万花筒烹饪,stockpot/zongzi_count_2.json,熟粽子(kaleidoscope_cookery:zongzi),2,汤锅(盖盖煮制),生粽子(kaleidoscope_cookery:raw_zongzi) + 生粽子(kaleidoscope_cookery:raw_zongzi),,8,10.0,生命恢复 20秒,原始(统一基准),
万花筒烹饪,stockpot/zongzi_count_3.json,熟粽子(kaleidoscope_cookery:zongzi),3,汤锅(盖盖煮制),生粽子(kaleidoscope_cookery:raw_zongzi) + 生粽子(kaleidoscope_cookery:raw_zongzi) + 生粽子(kaleidoscope_cookery:raw_zongzi),,8,10.0,生命恢复 20秒,原始(统一基准),
万花筒烹饪,stockpot/zongzi_count_4.json,熟粽子(kaleidoscope_cookery:zongzi),4,汤锅(盖盖煮制),生粽子(kaleidoscope_cookery:raw_zongzi) + 生粽子(kaleidoscope_cookery:raw_zongzi) + 生粽子(kaleidoscope_cookery:raw_zongzi) + 生粽子(kaleidoscope_cookery:raw_zongzi),,8,10.0,生命恢复 20秒,原始(统一基准),
万花筒烹饪,stockpot/zongzi_count_5.json,熟粽子(kaleidoscope_cookery:zongzi),5,汤锅(盖盖煮制),生粽子(kaleidoscope_cookery:raw_zongzi) + 生粽子(kaleidoscope_cookery:raw_zongzi) + 生粽子(kaleidoscope_cookery:raw_zongzi) + 生粽子(kaleidoscope_cookery:raw_zongzi) + 生粽子(kaleidoscope_cookery:raw_zongzi),,8,10.0,生命恢复 20秒,原始(统一基准),
万花筒烹饪,stockpot/zongzi_count_6.json,熟粽子(kaleidoscope_cookery:zongzi),6,汤锅(盖盖煮制),生粽子(kaleidoscope_cookery:raw_zongzi) + 生粽子(kaleidoscope_cookery:raw_zongzi) + 生粽子(kaleidoscope_cookery:raw_zongzi) + 生粽子(kaleidoscope_cookery:raw_zongzi) + 生粽子(kaleidoscope_cookery:raw_zongzi) + 生粽子(kaleidoscope_cookery:raw_zongzi),,8,10.0,生命恢复 20秒,原始(统一基准),
万花筒烹饪,stockpot/zongzi_count_7.json,熟粽子(kaleidoscope_cookery:zongzi),7,汤锅(盖盖煮制),生粽子(kaleidoscope_cookery:raw_zongzi) + 生粽子(kaleidoscope_cookery:raw_zongzi) + 生粽子(kaleidoscope_cookery:raw_zongzi) + 生粽子(kaleidoscope_cookery:raw_zongzi) + 生粽子(kaleidoscope_cookery:raw_zongzi) + 生粽子(kaleidoscope_cookery:raw_zongzi) + 生粽子(kaleidoscope_cookery:raw_zongzi),,8,10.0,生命恢复 20秒,原始(统一基准),
万花筒烹饪,stockpot/zongzi_count_8.json,熟粽子(kaleidoscope_cookery:zongzi),8,汤锅(盖盖煮制),生粽子(kaleidoscope_cookery:raw_zongzi) + 生粽子(kaleidoscope_cookery:raw_zongzi) + 生粽子(kaleidoscope_cookery:raw_zongzi) + 生粽子(kaleidoscope_cookery:raw_zongzi) + 生粽子(kaleidoscope_cookery:raw_zongzi) + 生粽子(kaleidoscope_cookery:raw_zongzi) + 生粽子(kaleidoscope_cookery:raw_zongzi) + 生粽子(kaleidoscope_cookery:raw_zongzi),,8,10.0,生命恢复 20秒,原始(统一基准),
万花筒烹饪,stockpot/zongzi_count_9.json,熟粽子(kaleidoscope_cookery:zongzi),9,汤锅(盖盖煮制),生粽子(kaleidoscope_cookery:raw_zongzi) + 生粽子(kaleidoscope_cookery:raw_zongzi) + 生粽子(kaleidoscope_cookery:raw_zongzi) + 生粽子(kaleidoscope_cookery:raw_zongzi) + 生粽子(kaleidoscope_cookery:raw_zongzi) + 生粽子(kaleidoscope_cookery:raw_zongzi) + 生粽子(kaleidoscope_cookery:raw_zongzi) + 生粽子(kaleidoscope_cookery:raw_zongzi) + 生粽子(kaleidoscope_cookery:raw_zongzi),,8,10.0,生命恢复 20秒,原始(统一基准),
万花筒烹饪,flex_stockpot/beef_meatball_soup.json,牛丸汤(kaleidoscope_cookery:beef_meatball_soup),1,汤锅(灵活),生丸子(kaleidoscope_cookery:raw_meatball) + 生菜(#c:crops/lettuce),,6,8.0,温暖 8分,原始(统一基准),
万花筒烹饪,stockpot/beef_meatball_soup.json,牛丸汤(kaleidoscope_cookery:beef_meatball_soup),1,汤锅(盖盖煮制),生丸子(kaleidoscope_cookery:raw_meatball) + 生丸子(kaleidoscope_cookery:raw_meatball) + 生菜(#c:crops/lettuce) + 生菜(#c:crops/lettuce) + 生菜(#c:crops/lettuce),,6,8.0,温暖 8分,原始(统一基准),
万花筒烹饪,flex_stockpot/beef_noodle.json,牛肉面(kaleidoscope_cookery:beef_noodle),1,汤锅(灵活),生牛肉(#c:foods/raw_beef) + 生面条(kaleidoscope_cookery:raw_noodles),,14,18.0,生机 8分,原始(统一基准),
万花筒烹饪,stockpot/beef_noodle.json,牛肉面(kaleidoscope_cookery:beef_noodle),1,汤锅(盖盖煮制),生牛肉(#c:foods/raw_beef) + 生牛肉(#c:foods/raw_beef) + 生牛肉(#c:foods/raw_beef) + 生牛肉(#c:foods/raw_beef) + 生面条(kaleidoscope_cookery:raw_noodles) + 生面条(kaleidoscope_cookery:raw_noodles) + 生面条(kaleidoscope_cookery:raw_noodles),,14,18.0,生机 8分,原始(统一基准),
万花筒烹饪,flex_stockpot/dough_drop_soup.json,疙瘩汤(kaleidoscope_cookery:dough_drop_soup),1,汤锅(灵活),生菜(#c:crops/lettuce) + 面粉(#c:flour),,8,16.0,温暖 1分20秒,原始(统一基准),
万花筒烹饪,stockpot/dough_drop_soup.json,疙瘩汤(kaleidoscope_cookery:dough_drop_soup),1,汤锅(盖盖煮制),生菜(#c:crops/lettuce) + 生菜(#c:crops/lettuce) + 生菜(#c:crops/lettuce) + 生菜(#c:crops/lettuce) + 面粉(#c:flour) + 面粉(#c:flour),,8,16.0,温暖 1分20秒,原始(统一基准),
万花筒烹饪,stockpot/rice_1.json,米饭(kaleidoscope_cookery:cooked_rice),1,汤锅(盖盖煮制),稻米(#c:grain/rice),100 刻,6,12.0,,原始(统一基准),
万花筒烹饪,stockpot/rice_2.json,米饭(kaleidoscope_cookery:cooked_rice),2,汤锅(盖盖煮制),稻米(#c:grain/rice) + 稻米(#c:grain/rice),200 刻,6,12.0,,原始(统一基准),
万花筒烹饪,stockpot/rice_3.json,米饭(kaleidoscope_cookery:cooked_rice),3,汤锅(盖盖煮制),稻米(#c:grain/rice) + 稻米(#c:grain/rice) + 稻米(#c:grain/rice),,6,12.0,,原始(统一基准),
万花筒烹饪,stockpot/rice_4.json,米饭(kaleidoscope_cookery:cooked_rice),4,汤锅(盖盖煮制),稻米(#c:grain/rice) + 稻米(#c:grain/rice) + 稻米(#c:grain/rice) + 稻米(#c:grain/rice),400 刻,6,12.0,,原始(统一基准),
万花筒烹饪,stockpot/rice_5.json,米饭(kaleidoscope_cookery:cooked_rice),5,汤锅(盖盖煮制),稻米(#c:grain/rice) + 稻米(#c:grain/rice) + 稻米(#c:grain/rice) + 稻米(#c:grain/rice) + 稻米(#c:grain/rice),500 刻,6,12.0,,原始(统一基准),
万花筒烹饪,stockpot/rice_6.json,米饭(kaleidoscope_cookery:cooked_rice),6,汤锅(盖盖煮制),稻米(#c:grain/rice) + 稻米(#c:grain/rice) + 稻米(#c:grain/rice) + 稻米(#c:grain/rice) + 稻米(#c:grain/rice) + 稻米(#c:grain/rice),600 刻,6,12.0,,原始(统一基准),
万花筒烹饪,stockpot/rice_7.json,米饭(kaleidoscope_cookery:cooked_rice),7,汤锅(盖盖煮制),稻米(#c:grain/rice) + 稻米(#c:grain/rice) + 稻米(#c:grain/rice) + 稻米(#c:grain/rice) + 稻米(#c:grain/rice) + 稻米(#c:grain/rice) + 稻米(#c:grain/rice),700 刻,6,12.0,,原始(统一基准),
万花筒烹饪,stockpot/rice_8.json,米饭(kaleidoscope_cookery:cooked_rice),8,汤锅(盖盖煮制),稻米(#c:grain/rice) + 稻米(#c:grain/rice) + 稻米(#c:grain/rice) + 稻米(#c:grain/rice) + 稻米(#c:grain/rice) + 稻米(#c:grain/rice) + 稻米(#c:grain/rice) + 稻米(#c:grain/rice),800 刻,6,12.0,,原始(统一基准),
万花筒烹饪,stockpot/rice_9.json,米饭(kaleidoscope_cookery:cooked_rice),9,汤锅(盖盖煮制),稻米(#c:grain/rice) + 稻米(#c:grain/rice) + 稻米(#c:grain/rice) + 稻米(#c:grain/rice) + 稻米(#c:grain/rice) + 稻米(#c:grain/rice) + 稻米(#c:grain/rice) + 稻米(#c:grain/rice) + 稻米(#c:grain/rice),900 刻,6,12.0,,原始(统一基准),
万花筒烹饪,flex_stockpot/red_mushroom_pot_soup.json,红蘑菇瓦罐汤(kaleidoscope_cookery:red_mushroom_pot_soup),1,汤锅(灵活),红色蘑菇(minecraft:red_mushroom),载体:花盆(minecraft:flower_pot),18,24.0,温暖 5分,原始(统一基准),
万花筒烹饪,stockpot/red_mushroom_pot_soup.json,红蘑菇瓦罐汤(kaleidoscope_cookery:red_mushroom_pot_soup),1,汤锅(盖盖煮制),红色蘑菇(minecraft:red_mushroom) + 红色蘑菇(minecraft:red_mushroom) + 红色蘑菇(minecraft:red_mushroom) + 红色蘑菇(minecraft:red_mushroom) + 红色蘑菇(minecraft:red_mushroom) + 红色蘑菇(minecraft:red_mushroom),载体:花盆(minecraft:flower_pot),18,24.0,温暖 5分,原始(统一基准),
万花筒烹饪,flex_stockpot/crimson_fungus_pot_soup.json,绯红菌瓦罐汤(kaleidoscope_cookery:crimson_fungus_pot_soup),1,汤锅(灵活),绯红菌(minecraft:crimson_fungus),载体:花盆(minecraft:flower_pot),18,24.0,抗火 2分,原始(统一基准),
万花筒烹饪,stockpot/crimson_fungus_pot_soup.json,绯红菌瓦罐汤(kaleidoscope_cookery:crimson_fungus_pot_soup),1,汤锅(盖盖煮制),绯红菌(minecraft:crimson_fungus) + 绯红菌(minecraft:crimson_fungus) + 绯红菌(minecraft:crimson_fungus) + 绯红菌(minecraft:crimson_fungus) + 绯红菌(minecraft:crimson_fungus) + 绯红菌(minecraft:crimson_fungus),载体:花盆(minecraft:flower_pot),18,24.0,抗火 2分,原始(统一基准),
